fips,county,state,deaths,cases
1001.0,Autauga,Alabama,61827.0,4385669
1003.0,Baldwin,Alabama,198989.0,14990321
1005.0,Barbour,Alabama,31403.0,1566898
1007.0,Bibb,Alabama,35804.0,1767288
1009.0,Blount,Alabama,73308.0,4307978
1011.0,Bullock,Alabama,21642.0,767575
1013.0,Butler,Alabama,44846.0,1499106
1015.0,Calhoun,Alabama,186053.0,9190173
1017.0,Chambers,Alabama,66046.0,2454042
1019.0,Cherokee,Alabama,26064.0,1310655
1021.0,Chilton,Alabama,64025.0,2915877
1023.0,Choctaw,Alabama,14739.0,462161
1025.0,Clarke,Alabama,33730.0,2163315
1027.0,Clay,Alabama,29667.0,1070269
1029.0,Cleburne,Alabama,22911.0,995351
1031.0,Coffee,Alabama,68020.0,3770463
1033.0,Colbert,Alabama,78097.0,4154121
1035.0,Conecuh,Alabama,20560.0,812001
1037.0,Coosa,Alabama,15952.0,714363
1039.0,Covington,Alabama,70876.0,2807389
1041.0,Crenshaw,Alabama,33438.0,1053196
1043.0,Cullman,Alabama,110227.0,6488252
1045.0,Dale,Alabama,72391.0,3495791
1047.0,Dallas,Alabama,81773.0,2427690
1049.0,DeKalb,Alabama,101897.0,5644331
1051.0,Elmore,Alabama,115372.0,6533325
1053.0,Escambia,Alabama,50270.0,2825078
1055.0,Etowah,Alabama,193307.0,8635069
1057.0,Fayette,Alabama,32263.0,1329533
1059.0,Franklin,Alabama,46593.0,2853600
1061.0,Geneva,Alabama,45491.0,1761803
1063.0,Greene,Alabama,20048.0,581687
1065.0,Hale,Alabama,41076.0,1390614
1067.0,Henry,Alabama,23831.0,1283679
1069.0,Houston,Alabama,154057.0,7163302
1071.0,Jackson,Alabama,66221.0,4321408
1073.0,Jefferson,Alabama,822606.0,50400514
1075.0,Lamar,Alabama,19743.0,965729
1077.0,Lauderdale,Alabama,123005.0,6190407
1079.0,Lawrence,Alabama,51554.0,1968119
1081.0,Lee,Alabama,105038.0,10620676
1083.0,Limestone,Alabama,83893.0,6585672
1085.0,Lowndes,Alabama,31249.0,879524
1087.0,Macon,Alabama,28476.0,1046041
1089.0,Madison,Alabama,278381.0,22730201
1091.0,Marengo,Alabama,36661.0,1542234
1093.0,Marion,Alabama,55573.0,2150122
1095.0,Marshall,Alabama,123698.0,8042092
1097.0,Mobile,Alabama,529082.0,29885065
1099.0,Monroe,Alabama,23598.0,1340548
1101.0,Montgomery,Alabama,325862.0,15841677
1103.0,Morgan,Alabama,150374.0,9459885
1105.0,Perry,Alabama,15162.0,687515
1107.0,Pickens,Alabama,33931.0,1481339
1109.0,Pike,Alabama,41250.0,2116103
1111.0,Randolph,Alabama,26896.0,1341865
1113.0,Russell,Alabama,22321.0,2935089
1115.0,St. Clair,Alabama,132064.0,6687023
1117.0,Shelby,Alabama,140936.0,16027823
1119.0,Sumter,Alabama,19883.0,690162
1121.0,Talladega,Alabama,106128.0,5671589
1123.0,Tallapoosa,Alabama,95012.0,2910066
1125.0,Tuscaloosa,Alabama,254307.0,16079890
1127.0,Walker,Alabama,154992.0,4948975
1129.0,Washington,Alabama,22086.0,1102784
1131.0,Wilcox,Alabama,17110.0,825274
1133.0,Winston,Alabama,40448.0,1918770
2013.0,Aleutians East Borough,Alaska,1110.0,200811
2016.0,Aleutians West Census Area,Alaska,134.0,399851
2020.0,Anchorage,Alaska,125397.0,22404054
2050.0,Bethel Census Area,Alaska,11300.0,2400794
2068.0,Denali Borough,Alaska,179.0,86562
2070.0,Dillingham Census Area,Alaska,2070.0,266320
2090.0,Fairbanks North Star Borough,Alaska,31423.0,5795425
2100.0,Haines Borough,Alaska,145.0,72041
2110.0,Juneau City and Borough,Alaska,3421.0,1421313
2122.0,Kenai Peninsula Borough,Alaska,18837.0,3789899
2130.0,Ketchikan Gateway Borough,Alaska,2542.0,623160
2150.0,Kodiak Island Borough,Alaska,3102.0,934031
2158.0,Kusilvak Census Area,Alaska,2624.0,855910
2170.0,Matanuska-Susitna Borough,Alaska,41343.0,7855500
2180.0,Nome Census Area,Alaska,479.0,651590
2185.0,North Slope Borough,Alaska,2556.0,906029
2188.0,Northwest Arctic Borough,Alaska,2097.0,674973
2195.0,Petersburg Borough,Alaska,421.0,128893
2198.0,Prince of Wales-Hyder Census Area,Alaska,1682.0,188369
2220.0,Sitka City and Borough,Alaska,967.0,416770
2230.0,Skagway Municipality,Alaska,0.0,24209
2240.0,Southeast Fairbanks Census Area,Alaska,3634.0,464517
2261.0,Valdez-Cordova Census Area,Alaska,2603.0,580319
2275.0,Wrangell City and Borough,Alaska,113.0,66514
2290.0,Yukon-Koyukuk Census Area,Alaska,2681.0,278383
2997.0,Bristol Bay plus Lake and Peninsula,Alaska,118.0,177729
2998.0,Yakutat plus Hoonah-Angoon,Alaska,1071.0,84338
4001.0,Apache,Arizona,235305.0,6844855
4003.0,Cochise,Arizona,163974.0,7500823
4005.0,Coconino,Arizona,188340.0,11176516
4007.0,Gila,Arizona,124240.0,4432569
4009.0,Graham,Arizona,51297.0,3352431
4011.0,Greenlee,Arizona,7267.0,461134
4012.0,La Paz,Arizona,42464.0,1479965
4013.0,Maricopa,Arizona,5582000.0,342697837
4015.0,Mohave,Arizona,434089.0,14598152
4017.0,Navajo,Arizona,314868.0,10697546
4019.0,Pima,Arizona,1285148.0,69003976
4021.0,Pinal,Arizona,489559.0,33084465
4023.0,Santa Cruz,Arizona,93787.0,4858933
4025.0,Yavapai,Arizona,308954.0,12338455
4027.0,Yuma,Arizona,453801.0,21292367
5001.0,Arkansas,Arkansas,24037.0,1457033
5003.0,Ashley,Arkansas,20293.0,1327716
5005.0,Baxter,Arkansas,67195.0,2297677
5007.0,Benton,Arkansas,250358.0,18551578
5009.0,Boone,Arkansas,50746.0,2585135
5011.0,Bradley,Arkansas,17131.0,867483
5013.0,Calhoun,Arkansas,2443.0,250278
5015.0,Carroll,Arkansas,29307.0,1830717
5017.0,Chicot,Arkansas,22524.0,1016741
5019.0,Clark,Arkansas,23023.0,1388174
5021.0,Clay,Arkansas,28699.0,1142697
5023.0,Cleburne,Arkansas,39713.0,1513928
5025.0,Cleveland,Arkansas,14309.0,611456
5027.0,Columbia,Arkansas,31913.0,1473296
5029.0,Conway,Arkansas,18355.0,1392445
5031.0,Craighead,Arkansas,103509.0,9387497
5033.0,Crawford,Arkansas,69600.0,4499745
5035.0,Crittenden,Arkansas,66745.0,3991621
5037.0,Cross,Arkansas,28317.0,1283386
5039.0,Dallas,Arkansas,8496.0,487264
5041.0,Desha,Arkansas,13093.0,851501
5043.0,Drew,Arkansas,22485.0,1269646
5045.0,Faulkner,Arkansas,92441.0,8586117
5047.0,Franklin,Arkansas,21820.0,1102084
5049.0,Fulton,Arkansas,26707.0,743381
5051.0,Garland,Arkansas,154563.0,6534855
5053.0,Grant,Arkansas,18835.0,1155698
5055.0,Greene,Arkansas,47694.0,4160028
5057.0,Hempstead,Arkansas,14068.0,1264231
5059.0,Hot Spring,Arkansas,45180.0,3387944
5061.0,Howard,Arkansas,15377.0,1072625
5063.0,Independence,Arkansas,69916.0,2723197
5065.0,Izard,Arkansas,21887.0,1100356
5067.0,Jackson,Arkansas,19128.0,1907088
5069.0,Jefferson,Arkansas,103637.0,5725199
5071.0,Johnson,Arkansas,22240.0,1927028
5073.0,Lafayette,Arkansas,7642.0,355676
5075.0,Lawrence,Arkansas,26090.0,1412727
5077.0,Lee,Arkansas,21565.0,1094750
5079.0,Lincoln,Arkansas,26219.0,2018593
5081.0,Little River,Arkansas,29395.0,854367
5083.0,Logan,Arkansas,16315.0,1459847
5085.0,Lonoke,Arkansas,71086.0,4992091
5087.0,Madison,Arkansas,15183.0,1041512
5089.0,Marion,Arkansas,21613.0,820362
5091.0,Miller,Arkansas,36546.0,2718084
5093.0,Mississippi,Arkansas,66358.0,3759403
5095.0,Monroe,Arkansas,9521.0,526670
5097.0,Montgomery,Arkansas,18223.0,463662
5099.0,Nevada,Arkansas,16068.0,579615
5101.0,Newton,Arkansas,17214.0,503416
5103.0,Ouachita,Arkansas,32809.0,1452922
5105.0,Perry,Arkansas,7545.0,604518
5107.0,Phillips,Arkansas,28015.0,1305496
5109.0,Pike,Arkansas,13143.0,689501
5111.0,Poinsett,Arkansas,43615.0,2130102
5113.0,Polk,Arkansas,41758.0,1215760
5115.0,Pope,Arkansas,63592.0,5211001
5117.0,Prairie,Arkansas,12270.0,555225
5119.0,Pulaski,Arkansas,382364.0,26411927
5121.0,Randolph,Arkansas,28054.0,1385038
5123.0,St. Francis,Arkansas,25704.0,2311520
5125.0,Saline,Arkansas,98513.0,7987829
5127.0,Scott,Arkansas,10172.0,641534
5129.0,Searcy,Arkansas,10408.0,519454
5131.0,Sebastian,Arkansas,158989.0,9628634
5133.0,Sevier,Arkansas,20190.0,1827063
5135.0,Sharp,Arkansas,28842.0,1157699
5137.0,Stone,Arkansas,19253.0,735532
5139.0,Union,Arkansas,63034.0,2526746
5141.0,Van Buren,Arkansas,15087.0,887192
5143.0,Washington,Arkansas,206678.0,19920981
5145.0,White,Arkansas,76194.0,5437956
5147.0,Woodruff,Arkansas,7735.0,434559
5149.0,Yell,Arkansas,37806.0,2150781
6001.0,Alameda,California,694008.0,58714396
6003.0,Alpine,California,0.0,45751
6005.0,Amador,California,26794.0,2271654
6007.0,Butte,California,113789.0,9240314
6009.0,Calaveras,California,31675.0,1598775
6011.0,Colusa,California,8675.0,1341914
6013.0,Contra Costa,California,432500.0,46094616
6015.0,Del Norte,California,10264.0,1239788
6017.0,El Dorado,California,58653.0,6989423
6019.0,Fresno,California,899228.0,65750771
6021.0,Glenn,California,16765.0,1802896
6023.0,Humboldt,California,35263.0,3614760
6025.0,Imperial,California,382070.0,18580866
6027.0,Inyo,California,20153.0,955744
6029.0,Kern,California,716225.0,66996365
6031.0,Kings,California,142867.0,14987793
6033.0,Lake,California,35747.0,2562147
6035.0,Lassen,California,16645.0,3304558
6037.0,Los Angeles,California,12321835.0,742599581
6039.0,Madera,California,127878.0,10779249
6041.0,Marin,California,122535.0,9339089
6043.0,Mariposa,California,5670.0,501725
6045.0,Mendocino,California,33932.0,3241716
6047.0,Merced,California,264805.0,19435004
6049.0,Modoc,California,2890.0,325977
6051.0,Mono,California,2402.0,797454
6053.0,Monterey,California,237987.0,25043847
6055.0,Napa,California,42577.0,6121930
6057.0,Nevada,California,40755.0,3636989
6059.0,Orange,California,2495426.0,158633041
6061.0,Placer,California,169811.0,16183877
6063.0,Plumas,California,3294.0,605915
6065.0,Riverside,California,2355108.0,175375743
6067.0,Sacramento,California,965520.0,70668988
6069.0,San Benito,California,32805.0,3580660
6071.0,San Bernardino,California,2366562.0,170705127
6073.0,San Diego,California,1893739.0,181894490
6075.0,San Francisco,California,278180.0,27245949
6077.0,San Joaquin,California,752956.0,46466325
6079.0,San Luis Obispo,California,137460.0,13404262
6081.0,San Mateo,California,290770.0,27529016
6083.0,Santa Barbara,California,234987.0,21802748
6085.0,Santa Clara,California,924313.0,73043689
6087.0,Santa Cruz,California,96246.0,10247990
6089.0,Shasta,California,143355.0,8968397
6091.0,Sierra,California,93.0,61542
6093.0,Siskiyou,California,21283.0,1658673
6095.0,Solano,California,139980.0,20859382
6097.0,Sonoma,California,178855.0,19768172
6099.0,Stanislaus,California,591877.0,38256211
6101.0,Sutter,California,66637.0,5980279
6103.0,Tehama,California,40997.0,3587878
6105.0,Trinity,California,3991.0,306097
6107.0,Tulare,California,464501.0,34761601
6109.0,Tuolumne,California,44529.0,2918419
6111.0,Ventura,California,496617.0,47464540
6113.0,Yolo,California,113320.0,9215949
6115.0,Yuba,California,30369.0,4306714
8001.0,Adams,Colorado,433736.0,36122038
8003.0,Alamosa,Colorado,20132.0,1067189
8005.0,Arapahoe,Colorado,487341.0,38198591
8007.0,Archuleta,Colorado,1900.0,643285
8009.0,Baca,Colorado,2194.0,197925
8011.0,Bent,Colorado,12407.0,779592
8013.0,Boulder,Colorado,146495.0,14799870
8014.0,Broomfield,Colorado,45608.0,3088005
8015.0,Chaffee,Colorado,17955.0,1079280
8017.0,Cheyenne,Colorado,3071.0,83298
8019.0,Clear Creek,Colorado,2394.0,330225
8021.0,Conejos,Colorado,11757.0,401645
8023.0,Costilla,Colorado,3307.0,157039
8025.0,Crowley,Colorado,9273.0,1110676
8027.0,Custer,Colorado,2862.0,148661
8029.0,Delta,Colorado,36994.0,1656605
8031.0,Denver,Colorado,515650.0,44330567
8033.0,Dolores,Colorado,1056.0,78648
8035.0,Douglas,Colorado,149823.0,18325142
8037.0,Eagle,Colorado,14325.0,3981166
8039.0,Elbert,Colorado,9468.0,1125252
8041.0,El Paso,Colorado,503351.0,43796392
8043.0,Fremont,Colorado,40043.0,3780378
8045.0,Garfield,Colorado,26493.0,3671538
8047.0,Gilpin,Colorado,1412.0,187628
8049.0,Grand,Colorado,5204.0,880067
8051.0,Gunnison,Colorado,5549.0,854197
8053.0,Hinsdale,Colorado,0.0,22350
8055.0,Huerfano,Colorado,9534.0,290790
8057.0,Jackson,Colorado,0.0,41194
8059.0,Jefferson,Colorado,465782.0,29404711
8061.0,Kiowa,Colorado,1615.0,74552
8063.0,Kit Carson,Colorado,8215.0,416332
8065.0,Lake,Colorado,365.0,471481
8067.0,La Plata,Colorado,23039.0,2644350
8069.0,Larimer,Colorado,142503.0,17154022
8071.0,Las Animas,Colorado,8926.0,771785
8073.0,Lincoln,Colorado,2547.0,577094
8075.0,Logan,Colorado,37431.0,2321140
8077.0,Mesa,Colorado,141516.0,10122038
8079.0,Mineral,Colorado,469.0,56694
8081.0,Moffat,Colorado,15356.0,682827
8083.0,Montezuma,Colorado,17026.0,1362874
8085.0,Montrose,Colorado,41604.0,2337506
